CODE	NAME	CONTEXT	SEARCH
AL	Algorithms and Complexity	Algorithms are fundamental to computer science and software engineering. The real-world performance of any software system depends on: (1) the algorithms chosen and (2) the suitability and efficiency of the various layers of implementation. Good algorithm design is therefore crucial for the performance of all software systems. Moreover, the study of algorithms provides insight into the intrinsic nature of the problem as well as possible solution techniques independent of programming language, programming paradigm, computer hardware, or any other implementation aspect.	(algorithms and complexity)
AL.1	Basic Analysis	Differences among best, expected, and worst case behaviors of an algorithm. Asymptotic analysis of upper and expected complexity bounds. Big O notation: formal definition. Complexity classes, such as constant, logarithmic, linear, quadratic, and exponential. Empirical measurements of performance. Time and space trade-offs in algorithms	(basic analysis)
AL.2	Algorithmic Strategies	Brute-force algorithms. Greedy algorithms. Divide-and-conquer (cross-reference SDF/Algorithms and Design/Problem-solving strategies). Recursive backtracking. Dynamic Programming	(algorithmic strategies)
AL.3	Fundamental Data Structures and Algorithms	Simple numerical algorithms, such as computing the average of a list of numbers, finding the min, max, and mode in a list, approximating the square root of a number, or finding the greatest common divisor. Sequential and binary search algorithms. Worst case quadratic sorting algorithms (selection, insertion). Worst or average case O(N log N) sorting algorithms (quicksort, heapsort, mergesort). Hash tables, including strategies for avoiding and resolving collisions. Binary search trees. Common operations on binary search trees such as select min, max, insert, delete, iterate over tree. Graphs and graph algorithms. Representations of graphs (e.g., adjacency list, adjacency matrix). Depth- and breadth-first traversals	(fundamental data structures and algorithms)
AL.4	Basic Automata, Computability and Complexity	Finite-state machines. Regular expressions. The halting problem	(basic automata, computability and complexity)
AL.5	Advanced Computational Complexity	Review of the classes P and NP; introduce P-space and EXP. Polynomial hierarchy. NP-completeness (Cook’s theorem). Classic NP-complete problems. Reduction Techniques	(advanced computational complexity)
AL.6	Advanced Automata Theory and Computability	Sets and languages. Regular languages. Review of deterministic finite automata (DFAs). Nondeterministic finite automata (NFAs). Equivalence of DFAs and NFAs. Review of regular expressions; their equivalence to finite automata. Closure properties. Proving languages non-regular, via the pumping lemma or alternative means. Context-free languages. Push-down automata (PDAs). Relationship of PDAs and context-free grammars. Properties of context-free languages. Turing machines, or an equivalent formal model of universal computation. Nondeterministic Turing machines. Chomsky hierarchy. The Church-Turing thesis. Computability. Rice’s Theorem. Examples of uncomputable functions. Implications of uncomputability	(advanced automata theory and computability)
AL.7	Advanced Data Structures, Algorithms, and Analysis	Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps). Graphs (e.g., topological sort, finding strongly connected components, matching). Advanced data structures (e.g., B-trees, Fibonacci heaps). String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries). Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite matching). Linear Programming (e.g., duality, simplex method, interior point algorithms). Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization). Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, spatial decomposition, collision detection, geometric search/proximity). Randomized algorithms. Stochastic algorithms. Approximation algorithms. Amortized analysis. Probabilistic analysis. Online algorithms and competitive analysis	(advanced data structures, algorithms, and analysis)
AR	Architecture and Organization	Computing professionals should not regard the computer as just a black box that executes programs by magic. The knowledge area Architecture and Organization builds on Systems Fundamentals (SF) to develop a deeper understanding of the hardware environment upon which all computing is based, and the interface it provides to higher software layers. Students should acquire an understanding and appreciation of a computer system’s functional components, their characteristics, performance, and interactions, and, in particular, the challenge of harnessing parallelism to sustain performance improvements now and into the future. Students need to understand computer architecture to develop programs that can achieve high performance through a programmer’s awareness of parallelism and latency. In selecting a system to use, students should be able to understand the tradeoff among various components, such as CPU clock speed, cycles per instruction, memory size, and average memory access time.	(architecture and organization)
AR.1	Digital Logic and Digital Systems	Overview and history of computer architecture. Combinational vs. sequential logic/Field programmable gate arrays as a fundamental combinational + sequential logic building block. Multiple representations/layers of interpretation (hardware is just another layer). Computer-aided design tools that process hardware and architectural representations. Register transfer notation/Hardware Description Language (Verilog/VHDL). Physical constraints (gate delays, fan-in, fan-out, energy/power)	(digital logic and digital systems)
AR.2	Machine Level Representation of Data	Bits, bytes, and words. Numeric data representation and number bases. Fixed- and floating-point systems. Signed and twos-complement representations. Representation of non-numeric data (character codes, graphical data). Representation of records and arrays	(machine level representation of data)
AR.3	Assembly Level Machine Organization	Basic organization of the von Neumann machine. Control unit; instruction fetch, decode, and execution. Instruction sets and types (data manipulation, control, I/O). Assembly/machine language programming. Instruction formats. Addressing modes. Subroutine call and return mechanisms (cross-reference PL/Language Translation and Execution). I/O and interrupts. Heap vs. Static vs. Stack vs. Code segments. Shared memory multiprocessors/multicore organization. Introduction to SIMD vs. MIMD and the Flynn Taxonomy	(assembly level machine organization)
AR.4	Memory System Organization and Architecture	Storage systems and their technology. Memory hierarchy: importance of temporal and spatial locality. Main memory organization and operations. Latency, cycle time, bandwidth, and interleaving. Cache memories (address mapping, block size, replacement and store policy). Multiprocessor cache consistency/Using the memory system for inter-core synchronization/atomic memory operations. Virtual memory (page table, TLB). Fault handling and reliability. Error coding, data compression, and data integrity (cross-reference SF/Reliability through Redundancy	(memory system organization and architecture)
AR.5	Interfacing and Communication	I/O fundamentals: handshaking, buffering, programmed I/O, interrupt-driven I/O. Interrupt structures: vectored and prioritized, interrupt acknowledgment. External storage, physical organization, and drives. Buses: bus protocols, arbitration, direct-memory access (DMA). Introduction to networks: communications networks as another layer of remote access. Multimedia support. RAID architectures	(interfacing and communication)
AR.6	Functional Organization	Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution. Control unit: hardwired realization vs. microprogrammed realization. Instruction pipelining. Introduction to instruction-level parallelism (ILP)	(functional organization)
AR.7	Multiprocessing and Alternative Architectures	Power Law. Example SIMD and MIMD instruction sets and architectures. Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar). Shared multiprocessor memory systems and memory consistency. Multiprocessor cache coherence	(multiprocessing and alternative architectures)
AR.8	Performance Enhancements	Superscalar architecture. Branch prediction, Speculative execution, Out-of-order execution. Prefetching. Vector processors and GPUs. Hardware support for multithreading. Scalability. Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose Processors	(performance enhancements)
CN	Computational Science	Computational Science is a field of applied computer science, that is, the application of computer science to solve problems across a range of disciplines. In the book Introduction to Computational Science [3], the authors offer the following definition: “the field of computational science combines computer simulation, scientific visualization, mathematical modeling, computer programming and data structures, networking, database design, symbolic computation, and high performance computing with various disciplines." Computer science, which largely focuses on the theory, design, and implementation of algorithms for manipulating data and information, can trace its roots to the earliest devices used to assist people in computation over four thousand years ago. Various systems were created and used to calculate astronomical positions. Ada Lovelace’s programming achievement was intended to calculate Bernoulli numbers. In the late nineteenth century, mechanical calculators became available, and were immediately put to use by scientists. The needs of scientists and engineers for computation have long driven research and innovation in computing. As computers increase in their problem- solving power, computational science has grown in both breadth and importance. It is a discipline in its own right [2] and is considered to be “one of the five college majors on the rise [1]." An amazing assortment of sub-fields have arisen under the umbrella of Computational Science, including computational biology, computational chemistry, computational mechanics, computational archeology, computational finance, computational sociology and computational forensics.	(computational science)
CN.1	Introduction to Modeling and Simulation	Models as abstractions of situations. Simulations as dynamic modeling. Simulation techniques and tools, such as physical simulations, human-in-the-loop guided simulations, and virtual reality. Foundational approaches to validating models (e.g., comparing a simulation’s output to real data or the output of another model). Presentation of results in a form relevant to the system being modeled	(introduction to modeling and simulation)
CN.2	Modeling and Simulation	Purpose of modeling and simulation including optimization; supporting decision making, forecasting, safety considerations; for training and education. Tradeoffs including performance, accuracy, validity, and complexity. The simulation process; identification of key characteristics or behaviors, simplifying assumptions; validation of outcomes. Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and techniques; use of time stepping for dynamic systems - 71 -. Formal models and modeling techniques: mathematical descriptions involving simplifying assumptions and avoiding detail. Examples of techniques include:. Monte Carlo methods. Stochastic processes. Queuing theory. Petri nets and colored Petri nets. Graph structures such as directed graphs, trees, networks. Games, game theory, the modeling of things using game theory. Linear programming and its extensions. Dynamic programming. Differential equations: ODE, PDE. Non-linear techniques. State spaces and transitions. Assessing and evaluating models and simulations in a variety of contexts; verification and validation of models and simulations. Important application areas including health care and diagnostics, economics and finance, city and urban planning, science, and engineering. Software in support of simulation and modeling; packages, languages	(modeling and simulation)
