Course	Coursename	Description	ACM_Matches	ACM_Match_Score
CS 100	Freshman Orientation	majors overview	User-Centered Design and Testing:Professional Ethics:Digital Forensics:Design-Oriented HCI:Agents:Intellectual Property:Professional Communication:Economies of Computing:History:Privacy and Civil Liberties:Mobile Platforms:Social Networking:Software Process:Information Storage and Retrieval:Security Policy and Governance:Data, Information, and Knowledge:Foundations:Social Context:Software Verification and Validation:Data Mining	[0.94446215 0.95703219 1.00421387 1.04041658 1.05249051 1.07161032 1.07694023 1.07986578 1.10204931 1.10651201 1.12575009 1.12845383 1.12964268 1.13200195 1.13470471 1.13969467 1.15393071 1.15719733 1.15783423 1.1584626 ]
CS 101	Intro Computing: Engrg & Sci	computing solving programming algorithms computers solving majors satisfies criteria quantitative ii	Modeling and Simulation:Agents:Introduction to Modeling and Simulation:Advanced Machine Learning:Advanced Representation and Reasoning:Fundamental Issues:Formal Models and Semantics:Static Analysis:Reasoning Under Uncertainty:Statistical Methods for HCI:Advanced Search:Algorithmic Strategies	[0.51455358 0.6979051  0.70556551 0.78497599 0.79624461 0.80711274 0.84704634 0.84949338 0.85599103 0.87505764 0.8798114  0.88084328]
CS 102	Little Bits to Big Ideas	computing topics computers algorithms computational computing cryptography internet solving modeling simulation	Agents:Modeling and Simulation:Introduction to Modeling and Simulation:Advanced Machine Learning:Design-Oriented HCI:Fundamental Issues:Data Mining:Data, Information, and Knowledge:Digital Forensics:Perception and Computer Vision:Reasoning Under Uncertainty:Interactive Visualization	[0.56043982 0.65679341 0.74659955 0.75814419 0.78704194 0.82956891 0.8466697  0.85598267 0.86296733 0.87406432 0.87795986 0.87816474]
CS 105	Intro Computing: Non-Tech	computing interrelationships hardware software packages spreadsheets databases programming majors satisfies criteria quantitative	Agents:Design-Oriented HCI:Modeling and Simulation:Data Mining:Professional Ethics:Digital Forensics:Economies of Computing:Interactive Visualization:Data, Information, and Knowledge:User-Centered Design and Testing:Information Storage and Retrieval:Introduction to Modeling and Simulation:Advanced Machine Learning:History:Fundamental Issues:Software Process:Mobile Platforms:Natural Language Processing:Static Analysis:Statistical Methods for HCI:Reasoning Under Uncertainty	[0.68123866 0.71131341 0.76041798 0.76352894 0.7701055  0.77119467 0.78215166 0.81015313 0.8649512  0.86976768 0.8806192  0.8896667 0.92280955 0.93165606 0.94084813 0.9446243  0.9467488  0.96546357 0.97553694 0.97746507 0.97793957]
CS 107	Data Science Discovery	computation relevance datasets analyze privacy satisfies criteria quantitative	Fundamental Issues:Statistical Methods for HCI:Static Analysis:Discrete Probability:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Modeling and Simulation:Advanced Machine Learning:Reasoning Under Uncertainty:Agents:Information Storage and Retrieval:Natural Language Processing:Interactive Visualization:Formal Models and Semantics:Data, Information, and Knowledge:Data Mining:Basic Analysis:Sustainability:Advanced Search:Numerical Analysis:Perception and Computer Vision:Basic Machine Learning:Basic Type Systems:Basics of Counting:Basic Knowledge Representation and Reasoning:Advanced Data Structures, Algorithms, and Analysis:Sets, Relations, and Functions:Algorithmic Strategies:Fundamental Data Structures and Algorithms:Defensive Programming:Basic Search Strategies:Design-Oriented HCI	[0.73705495 0.79016579 0.82767737 0.84362872 0.84862746 0.89194153 0.90061165 0.90925638 0.91224288 0.91684439 0.93158285 0.94303887 0.95694795 0.95926417 0.9627942  0.97417726 0.98048043 0.9981786 1.00104554 1.01271123 1.01494574 1.02370013 1.03703441 1.04605214 1.04741273 1.05005864 1.05645136 1.05759849 1.06039202 1.06843744 1.06919784 1.06949123]
CS 124	Introduction to Computer Science I	computing solving computational majors computing satisfies criteria quantitative	Modeling and Simulation:Statistical Methods for HCI:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Fundamental Issues:Agents:Static Analysis:Advanced Machine Learning:Reasoning Under Uncertainty:Formal Models and Semantics:Basic Analysis:Numerical Analysis:Basic Search Strategies:Advanced Search:Basics of Counting	[0.59883155 0.67984508 0.69877435 0.71153267 0.71527458 0.77495179 0.79286263 0.8127675  0.81829227 0.83109715 0.84044972 0.8469647 0.85709063 0.85796804 0.85950371]
CS 125	Introduction to Computer Science	computing solving computational majors computing satisfies criteria quantitative	Modeling and Simulation:Statistical Methods for HCI:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Fundamental Issues:Agents:Static Analysis:Advanced Machine Learning:Reasoning Under Uncertainty:Formal Models and Semantics:Basic Analysis:Numerical Analysis:Basic Search Strategies:Advanced Search:Basics of Counting	[0.59883155 0.67984508 0.69877435 0.71153267 0.71527458 0.77495179 0.79286263 0.8127675  0.81829227 0.83109715 0.84044972 0.8469647 0.85709063 0.85796804 0.85950371]
CS 126	Software Design Studio	software documentation debugging software majors	Secure Software Engineering:Software Process:Software Project Management:Software Evolution:Principles of Secure Design:History:Platform Security:Industrial Platforms:Tools and Environments:Digital Forensics:Design-Oriented HCI:Professional Ethics:Introduction:Collaboration and Communication:Economies of Computing:Mobile Platforms:Social Context:Professional Communication:Overview of Operating Systems:Operating System Principles:Cross-Layer Communications	[0.61196277 0.70914686 0.72302591 0.74719903 0.85917842 0.85967852 0.87048104 0.88200841 0.91377547 0.91685576 0.93127656 0.9547246 0.9555674  0.96075853 0.97296663 0.97716429 0.98838561 0.99556005 1.00111165 1.00557263 1.00741431]
CS 128	Introduction to Computer Science II	computing solving computational satisfies criteria quantitative ii	Modeling and Simulation:Statistical Methods for HCI:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Numerical Analysis:Reasoning Under Uncertainty:Fundamental Issues:Basic Analysis:Basic Search Strategies:Advanced Machine Learning:Basic Knowledge Representation and Reasoning:Formal Models and Semantics:Advanced Search:Basics of Counting:Discrete Probability	[0.62941904 0.65519172 0.73108511 0.75628082 0.75850283 0.78465684 0.78728191 0.80015178 0.80514408 0.81330353 0.81613003 0.83191407 0.8402721  0.84146406 0.84419271]
CS 173	Discrete Structures	discrete propositions boolean algebra induction recursion graphs math	Basics of Counting:Basic Knowledge Representation and Reasoning:Advanced Representation and Reasoning:Sets, Relations, and Functions:Basic Logic:Logic Programming:Proof Techniques:Basic Type Systems	[0.41041467 0.6232174  0.70920461 0.7478628  0.76708895 0.81484576 0.81701133 0.81738366]
