Index,INITL_GPA,FINAL_GPA,FALL_2037,SPRING_2038,FALL_2038,SPRING_2039,FALL_2039,SPRING_2040,FALL_2040,SPRING_2041
1,,2.19984,,,,498,241,,,241
2,2.941754386,,"201, 220","213, 357, 411, 465","241, 361","461, 498","421, 438",,,
3,3.240410959,,"256, 427, 433, 440",422,,,,,,
4,3.017586207,,498,"476, 498",,,,,,
5,2.188028169,,"256, 436, 498","256, 438, 461, 482",,,,,,
6,3.151333333,,"361, 493",421,"445, 465",498,,,,
7,2.866870748,,256,,,,,,,
8,2.576390977,,"241, 256, 465",,,,,,,
9,3.420277778,,"256, 433, 461",,,,,,,
10,3.1096,,"411, 424, 433, 438, 440","423, 431, 446, 463",445,,,,,
11,2.11262069,,"199, 357, 421",,,,498,419,,
12,3.121964286,,"411, 421, 427","256, 410",,,,,,
13,2.781666667,,"213, 465","210, 241, 361","357, 343, 418, 498","411, 421, 440","256, 412, 445, 498",,,
14,2.362878788,,"421, 483, 498",,,,,,,
15,3.463522013,,"421, 427","256, 423, 431, 446",,,,,,
16,1.857142857,,125,,,,,,,
17,3.931401869,,"256, 419, 446, 450",543,,,,,,
18,3.162625,,343,,,,,,,
19,3.212246377,,"256, 425, 440, 498","421, 461, 498",,,,,,
20,1.896422018,,"210, 343, 424, 465","357, 412, 421","425, 461",,,,,
21,2.975106383,,"256, 343, 465","410, 421, 498",,,,,,
22,3.709633028,,"425, 498",,,,,,,
23,2.881285714,,"418, 421, 425, 461",,,,,,,
24,3.495327103,,"210, 421, 440, 447, 498","256, 398, 483",,,,,,
25,1.911110363,,397,,,,,,,
26,3.160555556,,"256, 498",467,,,,,,
27,2.9925,,"241, 494",,,,"241, 410, 498",,,
28,3.348440367,,"361, 411, 421, 498","357, 410, 498",,,,,,
29,,3.976936416,,,"426, 447",418,,,,
30,3.405046729,,"256, 421","411, 425",,,,,,
31,,4,,"418, 421, 446, 498",,,,,,
